STUDY_ID,STAT_ID,TARGET_LAT,TARGET_LON,LOC_DESC
TP-OUT,179,42.281544,-70.953972,"Nut Island shoreline, End of Wharf near Outfall #103"
BHWQM,47,42.2805,-71.007,"Quincy Bay, Wollaston Beach, off storm drains 7 and 8 at Sachem St."
CSORWM,47,42.2805,-71.007,"Quincy Bay, Wollaston Beach, off storm drains 7 and 8 at Sachem St."
TP-OUT,47,42.2805,-71.007,"Quincy Bay, Wollaston Beach, off storm drains 7 and 8 at Sachem St."
CSORWM,76,42.2771667,-70.9986667,"Quincy, off Wollaston Beach"
BHWQM,78,42.2765,-70.9693333,Quincy off of Houghs Neck
CSORWM,78,42.2765,-70.9693333,Quincy off of Houghs Neck
BHWQM,80,42.2755,-70.944833,"Hingham Bay, Quincy Yacht Club - red nun #2"
CSORWM,80,42.2755,-70.944833,"Hingham Bay, Quincy Yacht Club - red nun #2"
TP-OUT,80,42.2755,-70.944833,"Hingham Bay, Quincy Yacht Club - red nun #2"
BHWQM,77,42.2741132,-70.983783,Quincy off of Merrymount Park
CSORWM,77,42.2741132,-70.983783,Quincy off of Merrymount Park
BHWQM,124,42.272667,-70.897667,"Hingham Bay, Crow Point Flats"
CSORWM,124,42.272667,-70.897667,"Hingham Bay, Crow Point Flats"
CSORWM,125,42.2635551,-70.9469399,"Hingham/Hull Bay, Raccoon Island"
BHWQM,116,42.251,-70.953833,"Hingham Bay Fore River, red nun #28"
CSORWM,116,42.251,-70.953833,"Hingham Bay Fore River, red nun #28"
TP-OUT,116,42.251,-70.953833,"Hingham Bay Fore River, red nun #28"
